"icon","set_id","lang","name","desc"
UI_RelicIcon_15003_1,15003,zh,吟游者之壶,外形奇妙的古代水壶，内侧安装着琴弦，随流水而奏出无旋律的奇妙乐声。
UI_RelicIcon_15003_2,15003,zh,琴师的箭羽,青蓝色的箭羽，并未在漫长岁月中褪色破碎。似乎带来了落珠流水的琴声。
UI_RelicIcon_15003_3,15003,zh,指挥的礼帽,尽管饱经风霜，但依旧光彩照人的礼帽。其中似乎回荡着古老悠扬的乐声。
UI_RelicIcon_15003_4,15003,zh,乐团的晨光,小小的花形徽章。侧耳细听的话，仿佛能听到悠扬的笛声和清新的歌唱声。
UI_RelicIcon_15003_5,15003,zh,终幕的时计,为乐团的演奏计时的沙漏，曾发出利落的声响。如今他们的表演已经落幕。
UI_RelicIcon_15003_1,15003,en,Wanderer's String-Kettle,"An ancient, strangely-shaped canteen. The interior is fitted with harp strings, which play a wondrous tune as the water flows out."
UI_RelicIcon_15003_2,15003,en,Bard's Arrow Feather,An azure arrow fletching that has neither faded nor splintered with the passage of time. The sound of running water seems to linger around it.
UI_RelicIcon_15003_3,15003,en,Conductor's Top Hat,A top hat that has managed to retain its radiance despite braving the elements for time untold. An ancient tune still resonates within.
UI_RelicIcon_15003_4,15003,en,Troupe's Dawnlight,"A small flower-shaped insignia. If you listen carefully, you can almost hear a flute playing and voices singing."
UI_RelicIcon_15003_5,15003,en,Concert's Final Hour,"An hourglass used to keep time during a band performance. It once made a crisp sound, but their performance has since ended."
UI_RelicIcon_15003_1,15003,ja,吟遊者の水筒,変わった形をした水筒、内側に弦があって、水の流れと共に旋律のない音楽を奏でる。
UI_RelicIcon_15003_2,15003,ja,琴師の矢羽,青藍色の矢羽、長い年月の中で少しも色褪せない。水の流れのような琴の音さえ聞こえるようだ。
UI_RelicIcon_15003_3,15003,ja,指揮者のハット,長い年月を経ても、輝きを失わない礼帽。古く抑揚のある音楽さえ聞こえてくるようだ。
UI_RelicIcon_15003_4,15003,ja,楽団の朝の光,小さい花の形をしたバッジ。耳をすませば、笛の音や歌声が聞こえるかもしれない。
UI_RelicIcon_15003_5,15003,ja,フィナーレの時計,楽団の演奏に使用されていた砂時計、きちんとした音を出していたが、彼らのパフォーマンスはとうに幕を閉じた。
UI_RelicIcon_15003_1,15003,ko,음유시인의 주전자,이상한 외형의 고대 물주전자. 안쪽에 악기의 줄이 달려 있어 물을 따를 때마다 선율이 없는 기묘한 악기 소리가 난다
UI_RelicIcon_15003_2,15003,ko,연주자의 화살깃,파란색의 화살깃. 오랜 세월이 흘렀지만 색이 바래지지 않고 모양도 그대로이다. 마치 옥구슬 구르는 것과 같은 악기 소리가 난다
UI_RelicIcon_15003_3,15003,ko,지휘의 탑 햇,산전수전을 모두 다 겪었음에도 불구하고 여전히 화사한 모자. 은은한 악기 소리가 울려 퍼지는 것만 같다
UI_RelicIcon_15003_4,15003,ko,악단의 서광,조그마한 꽃 모양의 배지. 자세히 들어보면 마치 은은한 피리 소리와 맑은 노랫소리가 들리는 것만 같다
UI_RelicIcon_15003_5,15003,ko,피날레의 시계,악단의 연주 시간을 계산하기 위한 모래시계. 과거 경쾌한 소리가 울려 퍼졌었다. 그들의 공연은 이제 볼 수 없다
UI_RelicIcon_10007_1,10007,zh,教官的茶杯,虽然在外人看来只是普通的茶杯，但在学员眼里可是教官权力的象征。
UI_RelicIcon_10007_2,10007,zh,教官的羽饰,熟知如何化解攻击力道的教官，不会让这种羽饰被劲风吹掉。
UI_RelicIcon_10007_3,10007,zh,教官的帽子,制式的教官帽子。是拒绝了晋升的军官才能获得的殊荣。
UI_RelicIcon_10007_4,10007,zh,教官的胸花,教官的胸口别着这种花的时候，意味着今日不练兵。
UI_RelicIcon_10007_5,10007,zh,教官的怀表,不能用来看时间的怀表，是完全奉献给训练的计时工具。
UI_RelicIcon_10007_1,10007,en,Instructor's Tea Cup,"It may seem like an ordinary tea cup to most. But to students, it is the symbol of the instructor's authority."
UI_RelicIcon_10007_2,10007,en,Instructor's Feather Accessory,Any instructor who has mastered the art of de-escalation knows to keep this accessory firmly in their grasp at all times.
UI_RelicIcon_10007_3,10007,en,Instructor's Cap,"A standard-issue honorary instructor's cap, only granted to those who turn down a promotion."
UI_RelicIcon_10007_4,10007,en,Instructor's Brooch,"Whenever the instructor wore this brooch, it meant there would be no training sessions that day."
UI_RelicIcon_10007_5,10007,en,Instructor's Pocket Watch,A stopwatch used not for general timekeeping but to measure the duration of a training session.
UI_RelicIcon_10007_1,10007,ja,教官のティーカップ,普通のティーカップだが、生徒からするとそれは教官の権力を象徴するものである。
UI_RelicIcon_10007_2,10007,ja,教官の羽飾り,攻撃の力を和らげる方法を熟知している教官は、羽飾りが風に飛ばされないようにすることができる。
UI_RelicIcon_10007_3,10007,ja,教官の帽子,制式化された教官帽子。昇級を拒んだ軍官のみが得られる栄誉。
UI_RelicIcon_10007_4,10007,ja,教官の花飾り,胸にこの花を付ける時は、今日は訓練しないという意味だ。
UI_RelicIcon_10007_5,10007,ja,教官の懐中時計,正しい時間の確認に使えない懐中時計だが、訓練の時間なら測ることができる。
UI_RelicIcon_10007_1,10007,ko,교관의 찻잔,외부인의 눈에는 평범한 찻잔이지만 수강생의 눈에는 교관 권력의 상징으로 비친다
UI_RelicIcon_10007_2,10007,ko,교관의 깃털장식,받는 힘을 무력화하는 방법을 익히 알고 있는 교관은 아무리 강한 바람이 불어도 깃털장식이 날아가게 하지 않는다
UI_RelicIcon_10007_3,10007,ko,교관의 모자,제식의 교관 모자. 승진을 거부한 장교만이 얻을 수 있는 특별한 영예다
UI_RelicIcon_10007_4,10007,ko,교관의 브로치,교관의 가슴에 이런 꽃을 꽂았을 때는 오늘은 훈련이 없다는 것을 뜻한다
UI_RelicIcon_10007_5,10007,ko,교관의 회중시계,"시간을 확인할 수 없는, 훈련에만 사용하는 시간을 재는 도구이다"
UI_RelicIcon_15040_1,15040,zh,深廊的饫赐之宴,由北国的玉石打造而成的杯盏，据说曾是古老的文明用以向高天奉献的礼器。
UI_RelicIcon_15040_2,15040,zh,深廊的漫远之约,由北国的玉石打造而成的羽饰，折射出的幽光仿佛不应属于这个世界。
UI_RelicIcon_15040_3,15040,zh,深廊的遂失之冕,如同其旧主的心神一般，为「执念」所浸染的盔面。其上装饰的玉石似乎来自更古老的时代。
UI_RelicIcon_15040_4,15040,zh,深廊的回奏之歌,由北国的玉石打造而成的冰之花，花瓣已然在漫长的岁月中湮落成尘。
UI_RelicIcon_15040_5,15040,zh,深廊的湮落之刻,由北国的玉石打造而成的怀表，指针已永久停驻于湮灭的那一刻。
UI_RelicIcon_15040_1,15040,en,Deep Gallery's Bestowed Banquet,A cup fashioned from northland jade. They say that the people of an ancient civilization once used it as a ceremonial vessel to make offerings to the heavens.
UI_RelicIcon_15040_2,15040,en,Deep Gallery's Distant Pact,A feathered accessory fashioned from northland jade that shimmers with an otherworldly glow.
UI_RelicIcon_15040_3,15040,en,Deep Gallery's Lost Crown,"A helmet steeped in obsession, just like the mind of its previous owner. Its jade ornamentation seems to come from an age more ancient still."
UI_RelicIcon_15040_4,15040,en,Deep Gallery's Echoing Song,"An icy flower fashioned from northland jade. Over the course of its long life, its petals have crumbled to dust."
UI_RelicIcon_15040_5,15040,en,Deep Gallery's Moment of Oblivion,A pocket watch fashioned from northland jade. Its hands are forever frozen in the moment of its destruction.
UI_RelicIcon_15040_1,15040,ja,深廊の招宴,北国の宝石から作られた盃。古い文明が高天に献上していた礼器だと言われている。
UI_RelicIcon_15040_2,15040,ja,深廊の遥かな契り,北国の宝石から作られた羽飾り。この世のものとは思えない幽かな光をちらつかせている。
UI_RelicIcon_15040_3,15040,ja,深廊の失われた冠,かつての持ち主の心のように「執念」に染まった兜。額の部分に飾られている宝石は、さらに古い時代のものらしい。
UI_RelicIcon_15040_4,15040,ja,深廊に響く歌,北国の宝石から作られた氷の花。花びらは長い年月の中で粉々になった。
UI_RelicIcon_15040_5,15040,ja,深廊が埋もれる刻,北国の宝石から作られた懐中時計。針は消え去る瞬間に、永久に止まることとなった。
UI_RelicIcon_15040_1,15040,ko,깊은 회랑의 연회,북국의 옥석으로 만든 잔. 고대 문명이 높은 하늘에 바치던 제사 도구라고 한다
UI_RelicIcon_15040_2,15040,ko,깊은 회랑의 요원한 약속,북국의 옥석으로 만든 깃털 장식. 희미하게 반사되는 어두운 빛은 마치 이 세상의 것이 아닌 듯하다
UI_RelicIcon_15040_3,15040,ko,깊은 회랑의 추락한 왕관,옛 주인의 마음처럼 「집념」으로 물든 투구. 위에 장식된 옥석은 더 오래전 시대의 것으로 보인다
UI_RelicIcon_15040_4,15040,ko,깊은 회랑의 메아리치는 노래,북국의 옥석으로 만든 얼음 꽃. 꽃잎은 이미 기나긴 세월 속에 먼지가 되었다
UI_RelicIcon_15040_5,15040,ko,깊은 회랑의 소멸된 순간,북국의 옥석으로 만든 회중시계. 바늘은 소멸의 순간에 영원히 멈춰있다
UI_RelicIcon_15015_1,15015,zh,夏祭水玉,诺艾尔专用
UI_RelicIcon_15015_2,15015,zh,夏祭终末,诺艾尔专用
UI_RelicIcon_15015_3,15015,zh,夏祭之面,诺艾尔专用
UI_RelicIcon_15015_4,15015,zh,夏祭之花,诺艾尔专用
UI_RelicIcon_15015_5,15015,zh,夏祭之刻,诺艾尔专用
UI_RelicIcon_15015_1,15015,en,Summer Night's Waterballoon,""
UI_RelicIcon_15015_2,15015,en,Summer Night's Finale,""
UI_RelicIcon_15015_3,15015,en,Summer Night's Mask,""
UI_RelicIcon_15015_4,15015,en,Summer Night's Bloom,""
UI_RelicIcon_15015_5,15015,en,Summer Night's Moment,""
UI_RelicIcon_15015_1,15015,ja,夏祭りの水風船,""
UI_RelicIcon_15015_2,15015,ja,夏祭りの終わり,""
UI_RelicIcon_15015_3,15015,ja,夏祭りの仮面,""
UI_RelicIcon_15015_4,15015,ja,夏祭りの花,""
UI_RelicIcon_15015_5,15015,ja,夏祭りの刻,""
UI_RelicIcon_15015_1,15015,ko,여름 축제의 물풍선,""
UI_RelicIcon_15015_2,15015,ko,여름 축제의 끝,""
UI_RelicIcon_15015_3,15015,ko,여름 축제의 가면,""
UI_RelicIcon_15015_4,15015,ko,여름 축제의 꽃,""
UI_RelicIcon_15015_5,15015,ko,여름 축제의 시계,""
UI_RelicIcon_10012_1,10012,zh,学士的墨杯,原本是饮水用的容器，因为常用来洗笔而被染黑。
UI_RelicIcon_10012_2,10012,zh,学士的羽笔,用做书写工具的某种鸟类尾羽，根部已经被浸成洗不去的黑。
UI_RelicIcon_10012_3,10012,zh,学士的镜片,大量的阅读会伤害读者的视力；为了弥补这样的损伤，而定制的道具。
UI_RelicIcon_10012_4,10012,zh,学士的书签,用来充当书签的干花，吸满了书卷的香气。
UI_RelicIcon_10012_5,10012,zh,学士的时钟,适合放在桌面上的小钟，对久不见天日的学者来说是唯一的时间参考吧。
UI_RelicIcon_10012_1,10012,en,Scholar's Ink Cup,"Originally designed to hold drinking water, this cup was stained black after a scholar used it to wash their paint brushes."
UI_RelicIcon_10012_2,10012,en,Scholar's Quill Pen,A bird's feather that serves as a quill pen. The tip has long been stained black.
UI_RelicIcon_10012_3,10012,en,Scholar's Lens,This corrective lens helped restore the vision of one whose eyes were damaged from intensive studying.
UI_RelicIcon_10012_4,10012,en,Scholar's Bookmark,A dried flower used as a bookmark. It has absorbed the scent from the pages.
UI_RelicIcon_10012_5,10012,en,Scholar's Clock,"A small desktop clock, whose former owner was a scholar sat in a windowless room buried in books. This was probably the only reference they had to the time of day."
UI_RelicIcon_10012_1,10012,ja,学者のコップ,水を飲むための容器だったが、筆を洗う容器に使われたため、真っ黒に染まった。
UI_RelicIcon_10012_2,10012,ja,学者の羽根ペン,ペンに作られたある鳥類の尾羽、根元は洗っても消えないほどの黒である。
UI_RelicIcon_10012_3,10012,ja,学者のレンズ,大量の読書によってダメージを受けた視力はこれがあれば問題ない。
UI_RelicIcon_10012_4,10012,ja,学者のしおり,しおりに使われた乾燥花、書籍のにおいがする。
UI_RelicIcon_10012_5,10012,ja,学者の時計,机に置くのに適した時計。研究に没頭する学者に時間を教える。
UI_RelicIcon_10012_1,10012,ko,학사의 먹잔,본디 물을 마시는데 사용하는 용기였는데 펜을 자주 헹궈 검게 물들었다
UI_RelicIcon_10012_2,10012,ko,학사의 깃펜,필기도구로 쓰이는 어떤 조류의 꽁지깃털의 끝은 이미 검게 물들어 씻어낼 수 없다
UI_RelicIcon_10012_3,10012,ko,학사의 렌즈,엄청난 양의 독서는 독자의 시력을 상하게 한다. 이런 손상을 보완하기 위해 맞춤화된 도구이다
UI_RelicIcon_10012_4,10012,ko,학사의 책갈피,책갈피로 사용하는 말린 꽃은 책의 향을 듬뿍 빨아들였다
UI_RelicIcon_10012_5,10012,ko,학사의 탁상시계,탁상에 놓기에 적합한 작은 시계는 방안에서만 시간을 보내는 학자들에게 시간을 참고할 수 있는 유일한 도구이다
UI_RelicIcon_15012_3,15012,zh,祭风礼冠,在古老的时代，司祭祀之人佩戴的礼冠。过去，风常常从礼冠构成的空洞中穿过。
UI_RelicIcon_15012_3,15012,en,Tiara of Gales,A tiara worn by those tasked with offering sacrifices in ancient times. Wind once freely flowed through the various openings in the headdress.
UI_RelicIcon_15012_3,15012,ja,風祭りの冠,大昔の時代の司祭が使用していた冠。昔、風はよく冠の隙間を通っていた。
UI_RelicIcon_15012_3,15012,ko,제풍의 관,옛날 옛적에 사제를 지낸 사람이 쓰던 예관(禮冠). 과거 바람이 예관의 구멍을 자주 관통했다
UI_RelicIcon_15007_1,15007,zh,宗室银瓮,九条裟罗专用
UI_RelicIcon_15007_2,15007,zh,宗室之翎,九条裟罗专用
UI_RelicIcon_15007_3,15007,zh,宗室面具,九条裟罗专用
UI_RelicIcon_15007_4,15007,zh,宗室之花,九条裟罗专用
UI_RelicIcon_15007_5,15007,zh,宗室时计,九条裟罗专用
UI_RelicIcon_15007_1,15007,en,Royal Silver Urn,""
UI_RelicIcon_15007_2,15007,en,Royal Plume,""
UI_RelicIcon_15007_3,15007,en,Royal Masque,""
UI_RelicIcon_15007_4,15007,en,Royal Flora,""
UI_RelicIcon_15007_5,15007,en,Royal Pocket Watch,""
UI_RelicIcon_15007_1,15007,ja,旧貴族の銀瓶,""
UI_RelicIcon_15007_2,15007,ja,旧貴族の羽根,""
UI_RelicIcon_15007_3,15007,ja,旧貴族の仮面,""
UI_RelicIcon_15007_4,15007,ja,旧貴族の花,""
UI_RelicIcon_15007_5,15007,ja,旧貴族の時計,""
UI_RelicIcon_15007_1,15007,ko,왕실의 은항아리,""
UI_RelicIcon_15007_2,15007,ko,왕실의 깃털,""
UI_RelicIcon_15007_3,15007,ko,왕실의 가면,""
UI_RelicIcon_15007_4,15007,ko,왕실의 꽃,""
UI_RelicIcon_15007_5,15007,ko,왕실의 시계,""
UI_RelicIcon_15031_1,15031,zh,遗忘的容器,容纳烈酒的便携金属容器，适合放在大衣口袋中随时使用。
UI_RelicIcon_15031_2,15031,zh,杰作的序曲,用于调整旧式机关发条力矩的便携工具。如今失去了实用价值。
UI_RelicIcon_15031_3,15031,zh,老兵的容颜,老旧的面具，能够一定程度上替代因伤害而损毁的面容。依据伤残的面积、使用者的性别，有不同的设计。
UI_RelicIcon_15031_4,15031,zh,猎人的胸花,老旧的勋章，在过去曾被用来配发给在战斗中做出了杰出贡献的人。
UI_RelicIcon_15031_5,15031,zh,裁判的时刻,制式的怀表，走时精准度并不算高。
UI_RelicIcon_15031_1,15031,en,Forgotten Vessel,A portable metal vessel containing strong wine. Can be stuffed into the pocket of an outer coat for ease of access and use.
UI_RelicIcon_15031_2,15031,en,Masterpiece's Overture,A portable tool used to adjust the torque on some old-school clockwork machine. It has since lost its practical value.
UI_RelicIcon_15031_3,15031,en,Veteran's Visage,"An old mask that can, to some extent, stand in for a face marred by wounds. Its design can vary based on the wounded areas and the user's gender."
UI_RelicIcon_15031_4,15031,en,Hunter's Brooch,An ancient emblem that was once awarded to those who had made exceptional contributions in battle.
UI_RelicIcon_15031_5,15031,en,Moment of Judgment,A standard pocket watch. Its accuracy is not particularly high.
UI_RelicIcon_15031_1,15031,ja,忘却の容器,強い酒を入れる携帯用の金属容器。コートのポケットに常備しておくのに最適。
UI_RelicIcon_15031_2,15031,ja,傑作の序曲,旧式のクロックワーク·マシナリーのトルクを調整する携帯式工具。今は実用的な価値を失っている。
UI_RelicIcon_15031_3,15031,ja,老兵の容貌,ある程度、負傷した顔の代わりになる古いマスク。怪我の度合いや使用者の性別によって、さまざまなデザインがある。
UI_RelicIcon_15031_4,15031,ja,狩人の胸花,過去の戦いにおいて、顕著な功績を残した者に贈られた古い勲章。
UI_RelicIcon_15031_5,15031,ja,審判の刻,制式化された懐中時計。その精度は特別高いわけではない。
UI_RelicIcon_15031_1,15031,ko,잊힌 술병,독한 술을 담는 금속 용기. 코트 주머니에 넣어 휴대하기 편하다
UI_RelicIcon_15031_2,15031,ko,걸작의 서곡,구식 장치 태엽의 모멘트를 조정하는 데 사용하는 휴대용 도구. 지금은 사용 가치를 잃었다
UI_RelicIcon_15031_3,15031,ko,노병의 얼굴,낡은 가면. 부상으로 다친 얼굴을 어느 정도 감출 수 있다. 부상 면적과 사용자 성별에 따라 다양한 디자인이 있다
UI_RelicIcon_15031_4,15031,ko,사냥꾼의 브로치,낡은 훈장. 전투에서 걸출한 공헌을 한 사람에게 수여된다
UI_RelicIcon_15031_5,15031,ko,심판의 시간,제식 회중시계. 정확도가 그다지 높지 않다
UI_RelicIcon_15011_3,15011,zh,祭雷礼冠,在古老的时代，司祭祀之人佩戴的礼冠。因为常年聆听着雷鸣，具有奇妙的抗性。
UI_RelicIcon_15011_3,15011,en,Tiara of Thunder,"A tiara worn by those tasked with offering sacrifices in ancient times. Because it harkened to the call of thunder year in and year out, it possesses remarkable resistance."
UI_RelicIcon_15011_3,15011,ja,雷祭りの冠,大昔の時代の司祭が使用していた冠。長年雷鳴を傾聴していたため、不思議な耐性を持っている。
UI_RelicIcon_15011_3,15011,ko,제뢰의 관,옛날 옛적에 사제를 지낸 사람이 쓰던 예관(禮冠). 오랫동안 뇌명을 들어 기묘한 내성이 생겼다
UI_RelicIcon_15024_1,15024,zh,涌泉之盏,能够源源不断涌出清泉的茶盏。或许是仙家的赠礼、遗物或是失物吧。
UI_RelicIcon_15024_2,15024,zh,垂玉之叶,宛如叶片的玉佩。过去在特定的友人之间，似乎有着特殊的含义。
UI_RelicIcon_15024_3,15024,zh,浮溯之珏,由一块美玉制成的对耳环。有着无比温润的感觉。
UI_RelicIcon_15024_4,15024,zh,魂香之花,花型的玉雕。魂香幽幽的气息似有似无地萦绕其中。
UI_RelicIcon_15024_5,15024,zh,祝祀之凭,圆形的玉佩。在某个传说中，它是何地之祭祀肇始的凭证。
UI_RelicIcon_15024_1,15024,en,Chalice of the Font,"This teacup forever overflows with fresh water. Perhaps it was a gift from an adeptus, one of their relics, or just something they left behind."
UI_RelicIcon_15024_2,15024,en,Jade Leaf,A jade ornament shaped like a leaf. It seems to have once had deep meaning between specific friends.
UI_RelicIcon_15024_3,15024,en,Flowing Rings,A pair of earrings made from a single piece of jade. It has a most gentle texture.
UI_RelicIcon_15024_4,15024,en,Soulscent Bloom,"A jade carved into the shape of a flower. A phantom scent, here one instant and gone the next, swirls around it."
UI_RelicIcon_15024_5,15024,en,Symbol of Felicitation,A circular jade ornament. Legend has it that it was once used somewhere as a symbol for rituals to begin.
UI_RelicIcon_15024_1,15024,ja,湧水の杯,水が永遠に湧き出る杯。恐らくは仙人からの贈り物か遺物、もしくは落とし物だろう。
UI_RelicIcon_15024_2,15024,ja,垂玉の葉,葉っぱの形をした玉佩。かつて、ある友人たちの間で特別な意味を持っていたようだ。
UI_RelicIcon_15024_3,15024,ja,浮流の対玉,美しい玉石をあしらった耳飾り。優しい温もりが紛れもなく感じられる。
UI_RelicIcon_15024_4,15024,ja,魂香の花,花の形をした宝玉の彫刻。幽幽たる魂の気を纏っている。
UI_RelicIcon_15024_5,15024,ja,祭祀の証,円形の玉佩。とある伝説では、儀式を開始する時の証として使われていたという。
UI_RelicIcon_15024_1,15024,ko,샘물의 찻잔,"맑은 샘물이 끊임없이 흘러나오는 찻잔. 선인의 선물, 유물, 분실물 중 하나인 것 같다"
UI_RelicIcon_15024_2,15024,ko,옥의 잎,나뭇잎처럼 생긴 옥패. 과거에 특정 친구 관계 사이에서는 특별한 의미를 갖고 있었던 것 같다
UI_RelicIcon_15024_3,15024,ko,추억의 보옥,"아름다운 옥으로 만들어진 귀걸이, 부드럽고 따뜻함이 느껴진다"
UI_RelicIcon_15024_4,15024,ko,혼향의 꽃,꽃 모양의 옥 조각. 영혼의 향기가 느껴질 듯 말 듯 주변을 맴돌고 있다
UI_RelicIcon_15024_5,15024,ko,축사의 증명,"원형 모양의 옥패, 어느 전설에 의하면, 이 옥패는 어느 지역 제사의 시작을 알리는 증거라고 한다"
UI_RelicIcon_10009_1,10009,zh,流放者之杯,黯淡的重金属制成的杯形器皿，可以看出外壁上原本镶有宝石，又被挖掉了。
UI_RelicIcon_10009_2,10009,zh,流放者之羽,并不是刻意的装饰物，只是在荒野流浪中偶然沾上的不知名的鸟羽。
UI_RelicIcon_10009_3,10009,zh,流放者头冠,尊贵的头冠，昭示身份的徽记被用刀划破，原本的显贵身份已被废黜。
UI_RelicIcon_10009_4,10009,zh,流放者之花,带在身上的黯淡的花。是流放之身也要带着，一定有重要的意义吧。
UI_RelicIcon_10009_5,10009,zh,流放者怀表,水晶制成的表镜已经破碎，连表针也全数脱落，但仍然不愿丢弃。
UI_RelicIcon_10009_1,10009,en,Exile's Goblet,"A dull goblet made of a heavy metal. It was once inlaid with gemstones, but they have since been stripped off."
UI_RelicIcon_10009_2,10009,en,Exile's Feather,Not an actual accessory per se. Just a random bird feather that was found somewhere in the wilderness by the exile.
UI_RelicIcon_10009_3,10009,en,Exile's Circlet,"A prestigious circlet. However, the royal insignia has been scratched out, and it is no longer the symbol of distinguished status that it once was."
UI_RelicIcon_10009_4,10009,en,Exile's Flower,"A withered flower worn on the shirt. Its former owner insisted on wearing it even in exile, so it must mean something."
UI_RelicIcon_10009_5,10009,en,Exile's Pocket Watch,"Even after the crystal watch face was shattered and the hands lost, its former owner kept it until the end."
UI_RelicIcon_10009_1,10009,ja,亡命者のコップ,薄暗い重金属でできたコップ。外側には宝石の装飾があったが、今はもうなくなった。
UI_RelicIcon_10009_2,10009,ja,亡命者の羽根,装飾物ではなく、亡命の旅の途中で偶然手に入れた羽根である。
UI_RelicIcon_10009_3,10009,ja,亡命者の冠,高貴だった冠。本来高貴な身分が廃却されたように、身分を象徴する部分が刀によって壊された。
UI_RelicIcon_10009_4,10009,ja,亡命者の花,薄暗い花、たとえ亡命の身になっても手放すことはないから、きっとなにか意味はあるのであろう。
UI_RelicIcon_10009_5,10009,ja,亡命者の懐中時計,水晶でできた風防は砕け、針も全部なくなったが。それでも捨てられない。
UI_RelicIcon_10009_1,10009,ko,유배자의 잔,어두운 중금속으로 만든 잔 모양의 그릇. 외벽에 보석이 박혀 있다가 다시 도려낸 것을 알 수 있다
UI_RelicIcon_10009_2,10009,ko,유배자의 깃털,"일부러 꾸민 장식물이 아니라, 그저 황야를 떠돌다가 우연히 묻은 이름 모를 새의 깃털이다"
UI_RelicIcon_10009_3,10009,ko,유배자의 머리장식,"존귀한 왕관, 신분을 드러내는 휘장이 칼로 그어지면서 원래의 존귀한 신분이 박탈되었다"
UI_RelicIcon_10009_4,10009,ko,유배자의 꽃,몸에 지니고 있는 어둡고 희미한 꽃. 유배자의 신분으로 아직도 지니고 있는 걸 보면 분명 중요한 의미가 담겨 있는 것 같다
UI_RelicIcon_10009_5,10009,ko,유배자의 회중시계,"수정으로 만들어진 유리는 이미 부서져 있고 시곗바늘까지 전부 떨어져 나갔지만, 여전히 버리려 하지 않는다"
UI_RelicIcon_14001_1,14001,zh,遍结寒霜的傲骨,待定
UI_RelicIcon_14001_2,14001,zh,摧冰而行的执望,待定
UI_RelicIcon_14001_3,14001,zh,破冰踏雪的回音,待定
UI_RelicIcon_14001_4,14001,zh,历经风雪的思念,待定
UI_RelicIcon_14001_5,14001,zh,冰雪故园的终期,待定
UI_RelicIcon_14001_1,14001,en,Frost-Weaved Dignity,""
UI_RelicIcon_14001_2,14001,en,Icebreaker's Resolve,""
UI_RelicIcon_14001_3,14001,en,Broken Rime's Echo,""
UI_RelicIcon_14001_4,14001,en,Snowswept Memory,""
UI_RelicIcon_14001_5,14001,en,Frozen Homeland's Demise,""
UI_RelicIcon_14001_1,14001,ja,霜を纏った気骨,""
UI_RelicIcon_14001_2,14001,ja,氷を砕く執念,""
UI_RelicIcon_14001_3,14001,ja,氷雪を踏む音,""
UI_RelicIcon_14001_4,14001,ja,吹雪の中の思い,""
UI_RelicIcon_14001_5,14001,ja,雪覆う故郷の最後,""
UI_RelicIcon_14001_1,14001,ko,서리를 감싼 기골,""
UI_RelicIcon_14001_2,14001,ko,얼음을 깨며 나아가는 집념,""
UI_RelicIcon_14001_3,14001,ko,빙설을 밟는 소리,""
UI_RelicIcon_14001_4,14001,ko,눈보라를 견딘 그리움,""
UI_RelicIcon_14001_5,14001,ko,눈 덮인 고향의 최후,""
